"Title","Police workforce by ethnicity and area"
"Location","England and Wales"
"Time period","2016"
"Data source","Police workforce, England and Wales, 31 March 2016"
"Data source link","https://www.gov.uk/government/statistics/police-workforce-england-and-wales-31-march-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"","Asian","","Black","","Mixed","","Other","","White",""
"Police force area","%","% Population","%","% Population","%","% Population","%","% Population","%","% Population"
"All - excluding BTP","2.4","6.8","1.2","3.3","1.7","2.2","0.7","1.7","94.1","86.0"
"Avon & Somerset","0.3","2.1","0.6","1.9","1.6","1.8","0.3","1.0","97.2","93.3"
"Bedfordshire","3.5","13.2","1.2","4.8","1.9","3.0","0.0","1.4","93.4","77.5"
"British Transport Police","3.5","N/A","2.5","N/A","2.6","N/A","0.5","N/A","90.9","N/A"
"Cambridgeshire","0.8","4.9","0.3","1.3","1.1","2.0","0.2","1.6","97.5","90.3"
"Cheshire","0.4","1.2","0.0","0.3","0.5","1.0","0.0","0.5","99.2","96.9"
"Cleveland","1.2","3.1","0.1","0.6","0.3","1.0","0.2","0.8","98.3","94.5"
"Cumbria","0.4","0.6","0.2","0.1","0.4","0.5","0.1","0.3","99.0","98.5"
"Derbyshire","2.3","3.6","0.3","1.0","0.7","1.4","0.2","0.7","96.5","93.3"
"Devon & Cornwall","0.2","0.7","0.3","0.2","0.8","0.9","0.3","0.6","98.5","97.5"
"Dorset","0.2","1.4","0.2","0.4","0.9","1.3","0.1","0.8","98.7","96.0"
"Durham","0.5","0.8","0.1","0.2","1.0","0.7","0.1","0.5","98.3","97.8"
"Dyfed-Powys","0.2","0.8","0.1","0.2","0.5","0.6","0.1","0.4","99.2","98.0"
"Essex","0.3","2.3","0.2","2.0","1.5","1.6","0.1","0.9","97.9","93.2"
"Gloucestershire","0.5","1.8","0.4","0.9","0.8","1.5","0.4","0.5","97.9","95.4"
"Greater Manchester","2.1","9.2","0.6","2.8","1.8","2.3","0.4","2.0","95.1","83.8"
"Gwent","0.6","1.7","0.5","0.6","0.5","1.0","0.1","0.6","98.3","96.1"
"Hampshire","0.9","3.0","0.2","0.9","1.2","1.6","0.5","1.1","97.2","93.3"
"Hertfordshire","1.8","5.7","0.6","2.8","1.8","2.5","0.1","1.4","95.7","87.6"
"Humberside","0.3","1.3","0.4","0.5","0.6","0.9","0.0","0.8","98.7","96.5"
"Kent","1.1","3.1","0.2","1.3","1.3","1.6","0.3","0.9","97.1","93.1"
"Lancashire","2.2","7.4","0.1","0.4","1.6","1.1","0.1","0.7","95.9","90.4"
"Leicestershire","4.7","15.3","0.9","2.4","2.0","2.0","0.1","1.9","92.3","78.4"
"Lincolnshire","0.5","0.8","0.5","0.4","0.8","0.9","0.0","0.4","98.2","97.6"
"London, City of","2.3","9.2","1.6","2.6","2.1","3.9","0.3","5.7","93.7","78.6"
"Merseyside","0.3","1.4","0.6","1.1","2.0","1.5","0.5","1.6","96.6","94.5"
"Metropolitan Police","4.8","17.0","3.1","13.3","2.9","5.0","1.9","5.0","87.4","59.8"
"Norfolk","0.2","1.1","0.5","0.5","0.9","1.2","0.2","0.6","98.2","96.5"
"North Wales","0.1","0.9","0.1","0.2","0.5","0.7","0.1","0.6","99.2","97.5"
"North Yorkshire","0.3","1.2","0.0","0.5","0.9","0.9","0.0","0.8","98.8","96.6"
"Northamptonshire","1.0","3.3","1.3","2.4","1.2","2.0","0.1","0.8","96.4","91.5"
"Northumbria","0.4","2.7","0.2","0.6","1.0","0.9","0.1","1.3","98.3","94.6"
"Nottinghamshire","2.0","4.4","0.9","2.5","1.3","2.8","0.2","1.4","95.6","88.8"
"South Wales","0.5","2.8","0.2","1.0","1.1","1.4","0.2","1.5","98.1","93.4"
"South Yorkshire","1.8","4.1","0.6","1.9","1.0","1.5","0.1","1.8","96.5","90.6"
"Staffordshire","0.6","3.2","0.4","0.8","0.8","1.3","0.0","0.7","98.2","94.1"
"Suffolk","0.2","1.5","0.3","0.9","1.8","1.7","0.1","0.6","97.6","95.2"
"Surrey","1.2","4.8","0.5","1.1","1.8","2.1","0.5","1.7","96.0","90.4"
"Sussex","0.3","2.5","0.2","0.9","1.0","1.9","0.5","1.0","98.1","93.7"
"Thames Valley","1.7","8.5","0.8","3.0","2.2","2.5","0.4","1.4","95.0","84.6"
"Warwickshire","3.5","4.2","0.1","0.8","0.7","1.5","0.5","0.9","95.2","92.7"
"West Mercia","0.8","1.8","0.3","0.4","0.9","1.1","0.3","0.5","97.7","96.2"
"West Midlands","5.4","18.0","1.5","6.0","2.0","3.5","0.2","2.3","91.0","70.1"
"West Yorkshire","2.9","12.6","0.7","2.1","1.2","2.2","0.4","1.4","94.8","81.8"
"Wiltshire","0.8","2.6","0.4","0.9","0.3","1.4","0.1","0.6","98.4","94.5"
