"Gender","Ethnicity","Number 2007","% 2007","Number 2018","% 2018"
"Female","Asian","402","1.2","675","1.9"
"Female","Black","359","1.1","398","1.1"
"Female","Mixed","393","1.2","675","1.9"
"Female","Other inc Chinese","130","0.4","213","0.6"
"Female","White","31,463","96.1"," 33,645 ","94.5"
"Female","Unknown","371","N/A","812","N/A"
"Male","Asian","1,709","1.6"," 2,591 ","3.1"
"Male","Black","991","0.9"," 1,026 ","1.2"
"Male","Mixed","1,026","1.0"," 1,634 ","2.0"
"Male","Other inc Chinese","502","0.5","639","0.8"
"Male","White","102,909","96.1"," 77,860 ","93.0"
"Male","Unknown","1,628","N/A"," 2,236 ","N/A"
