"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Value","Denominator","Numerator"
"Percentage of prison officers in post (headcount)","31/03/15","Date","Asian","ONS 5+1 2011","1.2","17107","206"
"Percentage of prison officers in post (headcount)","31/03/15","Date","Black","ONS 5+1 2011","2.3","17107","401"
"Percentage of prison officers in post (headcount)","31/03/15","Date","Other including Chinese ","ONS 5+1 2011","0.7","17107","121"
"Percentage of prison officers in post (headcount)","31/03/15","Date","Mixed","ONS 5+1 2011","1.2","17107","199"
"Percentage of prison officers in post (headcount)","31/03/15","Date","White","ONS 5+1 2011","94.6","17107","16180"
"Percentage of prison officers in post (headcount)","31/03/15","Date","Unknown","ONS 5+1 2011","N/A","18958","1851"
"Percentage of prison officers in post (headcount)","31/03/16","Date","Asian","ONS 5+1 2011","1.3","16448","206"
"Percentage of prison officers in post (headcount)","31/03/16","Date","Black","ONS 5+1 2011","2.4","16448","396"
"Percentage of prison officers in post (headcount)","31/03/16","Date","Other including Chinese ","ONS 5+1 2011","0.7","16448","108"
"Percentage of prison officers in post (headcount)","31/03/16","Date","Mixed","ONS 5+1 2011","1.3","16448","213"
"Percentage of prison officers in post (headcount)","31/03/16","Date","White","ONS 5+1 2011","94.4","16448","15525"
"Percentage of prison officers in post (headcount)","31/03/16","Date","Unknown","ONS 5+1 2011","N/A","19089","2641"
"Percentage of prison officers in post (headcount)","31/03/17","Date","Asian","ONS 5+1 2011","1.3","15920","204"
"Percentage of prison officers in post (headcount)","31/03/17","Date","Black","ONS 5+1 2011","2.6","15920","410"
"Percentage of prison officers in post (headcount)","31/03/17","Date","Other including Chinese ","ONS 5+1 2011","0.6","15920","100"
"Percentage of prison officers in post (headcount)","31/03/17","Date","Mixed","ONS 5+1 2011","1.3","15920","214"
"Percentage of prison officers in post (headcount)","31/03/17","Date","White","ONS 5+1 2011","94.2","15920","14992"
"Percentage of prison officers in post (headcount)","31/03/17","Date","Unknown","ONS 5+1 2012"," N/A ","19174","3254"
