"Title","Headteacher workforce by ethnicity and gender"
"Location","England"
"Time period","2017"
"Data source","School workforce in England: November 2017"
"Data source link","https://www.gov.uk/government/statistics/school-workforce-in-england-november-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","28/06/2018"

"Gender","Ethnicity","%","Teachers"
"Men","Asian","",""
"Men","Bangladeshi","0.1","!"
"Men","Indian","0.6","!"
"Men","Pakistani","0.3","!"
"Men","Asian other","0.2","!"
"Men","Black","",""
"Men","Black African","0.1","!"
"Men","Black Caribbean","0.5","!"
"Men","Black other","0.1","!"
"Men","Mixed","",""
"Men","Mixed White/Asian","0.3","!"
"Men","Mixed White/Black African","!","!"
"Men","Mixed White/Black Caribbean","0.1","!"
"Men","Mixed other","0.1","!"
"Men","White","",""
"Men","White British","93.1","6,500"
"Men","White Irish","2.2","200"
"Men","White other","2.0","100"
"Men","Other inc Chinese","",""
"Men","Chinese","0.1","!"
"Men","Any other","0.1","!"
"Men","Unknown","N/A","!"
"Women","Asian","",""
"Women","Bangladeshi","!","!"
"Women","Indian","0.8","100"
"Women","Pakistani","0.3","!"
"Women","Asian other","0.2","!"
"Women","Black","",""
"Women","Black African","0.2","!"
"Women","Black Caribbean","0.8","100"
"Women","Black other","0.2","!"
"Women","Mixed","",""
"Women","Mixed White/Asian","0.2","!"
"Women","Mixed White/Black African","0.1","!"
"Women","Mixed White/Black Caribbean","0.3","!"
"Women","Mixed other","0.3","!"
"Women","White","",""
"Women","White British","93.0","13,200"
"Women","White Irish","1.7","200"
"Women","White other","1.7","200"
"Women","Other inc Chinese","",""
"Women","Chinese","!","!"
"Women","Any other","0.2","!"
"Women","Unknown","N/A","700"
