"Ethnicity","% of teacher workforce","Teachers","% of working age population (2011)"
"Asian","","",""
"Bangladeshi","0.5","2,500","0.8"
"Chinese","0.2","800","0.9"
"Indian","1.9","8,600","3.0"
"Pakistani","1.1","5,100","2.0"
"Asian other","0.6","2,900","1.7"
"Black","","",""
"Black African","0.8","3,800","1.9"
"Black Caribbean","1.0","4,800","1.2"
"Black other","0.3","1,500","0.5"
"Mixed","","",""
"Mixed White/Asian","0.3","1,600","0.5"
"Mixed White/Black African","0.1","600","0.2"
"Mixed White/Black Caribbean","0.3","1,600","0.6"
"Mixed other","0.5","2,300","0.5"
"White","","",""
"White British","86.2","401,400","78.5"
"White Irish","1.6","7,500","1.0"
"White Gypsy/Traveller","N/A","N/A","0.1"
"White other","3.8","17,800","5.6"
"Other","","",""
"Arab","N/A","N/A","0.4"
"Any other","0.6","2,600","0.7"
"Unknown","N/A","32,600","N/A"
